environment_hash,invariant_across_methods,method,scenario,scenario_case,seed
626da5697b704a83,True,proxy_token_passing,comm_degradation,R12_p0,2045
76411542a5976f29,True,random_feasible,comm_degradation,R12_p0,2026
4679fced23c04807,True,random_feasible,comm_degradation,R12_p0,2027
cc1a98f87a0aa2c3,True,random_feasible,comm_degradation,R12_p0,2028
7903fbd42b8aa6ce,True,random_feasible,comm_degradation,R12_p0,2029
ea808491ab8d22de,True,random_feasible,comm_degradation,R12_p0,2030
76411542a5976f29,True,response_threshold,comm_degradation,R12_p0,2026
4679fced23c04807,True,response_threshold,comm_degradation,R12_p0,2027
cc1a98f87a0aa2c3,True,response_threshold,comm_degradation,R12_p0,2028
7903fbd42b8aa6ce,True,response_threshold,comm_degradation,R12_p0,2029
ea808491ab8d22de,True,response_threshold,comm_degradation,R12_p0,2030
412cd625a0778a2f,True,response_threshold,comm_degradation,R12_p0,2031
021c60c9c2b66a9e,True,response_threshold,comm_degradation,R12_p0,2032
7870cc5f3369645a,True,response_threshold,comm_degradation,R12_p0,2033
c2573bd7a251c3e9,True,response_threshold,comm_degradation,R12_p0,2034
972511f5962f26cf,True,response_threshold,comm_degradation,R12_p0,2035
cbf4b8f3da24e204,True,response_threshold,comm_degradation,R12_p0,2036
1c1e557cf807c801,True,response_threshold,comm_degradation,R12_p0,2037
8d1d06cbf6481103,True,response_threshold,comm_degradation,R12_p0,2038
079b9772dac0e451,True,response_threshold,comm_degradation,R12_p0,2039
6938e629bffcc1f1,True,response_threshold,comm_degradation,R12_p0,2040
19d18f721c4b3af5,True,response_threshold,comm_degradation,R12_p0,2041
075d8a8aff1e22b7,True,response_threshold,comm_degradation,R12_p0,2042
5ce4c89966030f7a,True,response_threshold,comm_degradation,R12_p0,2043
f382780833e55b26,True,response_threshold,comm_degradation,R12_p0,2044
626da5697b704a83,True,response_threshold,comm_degradation,R12_p0,2045
76411542a5976f29,True,smith,comm_degradation,R12_p0,2026
4679fced23c04807,True,smith,comm_degradation,R12_p0,2027
cc1a98f87a0aa2c3,True,smith,comm_degradation,R12_p0,2028
7903fbd42b8aa6ce,True,smith,comm_degradation,R12_p0,2029
ea808491ab8d22de,True,smith,comm_degradation,R12_p0,2030
412cd625a0778a2f,True,smith,comm_degradation,R12_p0,2031
021c60c9c2b66a9e,True,smith,comm_degradation,R12_p0,2032
7870cc5f3369645a,True,smith,comm_degradation,R12_p0,2033
c2573bd7a251c3e9,True,smith,comm_degradation,R12_p0,2034
972511f5962f26cf,True,smith,comm_degradation,R12_p0,2035
cbf4b8f3da24e204,True,smith,comm_degradation,R12_p0,2036
1c1e557cf807c801,True,smith,comm_degradation,R12_p0,2037
8d1d06cbf6481103,True,smith,comm_degradation,R12_p0,2038
079b9772dac0e451,True,smith,comm_degradation,R12_p0,2039
6938e629bffcc1f1,True,smith,comm_degradation,R12_p0,2040
19d18f721c4b3af5,True,smith,comm_degradation,R12_p0,2041
075d8a8aff1e22b7,True,smith,comm_degradation,R12_p0,2042
5ce4c89966030f7a,True,smith,comm_degradation,R12_p0,2043
f382780833e55b26,True,smith,comm_degradation,R12_p0,2044
626da5697b704a83,True,smith,comm_degradation,R12_p0,2045
76411542a5976f29,True,smith_effective_occupancy,comm_degradation,R12_p0,2026
4679fced23c04807,True,smith_effective_occupancy,comm_degradation,R12_p0,2027
cc1a98f87a0aa2c3,True,smith_effective_occupancy,comm_degradation,R12_p0,2028
7903fbd42b8aa6ce,True,smith_effective_occupancy,comm_degradation,R12_p0,2029
ea808491ab8d22de,True,smith_effective_occupancy,comm_degradation,R12_p0,2030
412cd625a0778a2f,True,smith_effective_occupancy,comm_degradation,R12_p0,2031
021c60c9c2b66a9e,True,smith_effective_occupancy,comm_degradation,R12_p0,2032
7870cc5f3369645a,True,smith_effective_occupancy,comm_degradation,R12_p0,2033
c2573bd7a251c3e9,True,smith_effective_occupancy,comm_degradation,R12_p0,2034
972511f5962f26cf,True,smith_effective_occupancy,comm_degradation,R12_p0,2035
cbf4b8f3da24e204,True,smith_effective_occupancy,comm_degradation,R12_p0,2036
1c1e557cf807c801,True,smith_effective_occupancy,comm_degradation,R12_p0,2037
8d1d06cbf6481103,True,smith_effective_occupancy,comm_degradation,R12_p0,2038
079b9772dac0e451,True,smith_effective_occupancy,comm_degradation,R12_p0,2039
6938e629bffcc1f1,True,smith_effective_occupancy,comm_degradation,R12_p0,2040
19d18f721c4b3af5,True,smith_effective_occupancy,comm_degradation,R12_p0,2041
075d8a8aff1e22b7,True,smith_effective_occupancy,comm_degradation,R12_p0,2042
5ce4c89966030f7a,True,smith_effective_occupancy,comm_degradation,R12_p0,2043
f382780833e55b26,True,smith_effective_occupancy,comm_degradation,R12_p0,2044
626da5697b704a83,True,smith_effective_occupancy,comm_degradation,R12_p0,2045
76411542a5976f29,True,smith_no_integer,comm_degradation,R12_p0,2026
4679fced23c04807,True,smith_no_integer,comm_degradation,R12_p0,2027
cc1a98f87a0aa2c3,True,smith_no_integer,comm_degradation,R12_p0,2028
7903fbd42b8aa6ce,True,smith_no_integer,comm_degradation,R12_p0,2029
ea808491ab8d22de,True,smith_no_integer,comm_degradation,R12_p0,2030
412cd625a0778a2f,True,smith_no_integer,comm_degradation,R12_p0,2031
021c60c9c2b66a9e,True,smith_no_integer,comm_degradation,R12_p0,2032
7870cc5f3369645a,True,smith_no_integer,comm_degradation,R12_p0,2033
c2573bd7a251c3e9,True,smith_no_integer,comm_degradation,R12_p0,2034
972511f5962f26cf,True,smith_no_integer,comm_degradation,R12_p0,2035
cbf4b8f3da24e204,True,smith_no_integer,comm_degradation,R12_p0,2036
1c1e557cf807c801,True,smith_no_integer,comm_degradation,R12_p0,2037
8d1d06cbf6481103,True,smith_no_integer,comm_degradation,R12_p0,2038
079b9772dac0e451,True,smith_no_integer,comm_degradation,R12_p0,2039
6938e629bffcc1f1,True,smith_no_integer,comm_degradation,R12_p0,2040
19d18f721c4b3af5,True,smith_no_integer,comm_degradation,R12_p0,2041
075d8a8aff1e22b7,True,smith_no_integer,comm_degradation,R12_p0,2042
5ce4c89966030f7a,True,smith_no_integer,comm_degradation,R12_p0,2043
f382780833e55b26,True,smith_no_integer,comm_degradation,R12_p0,2044
626da5697b704a83,True,smith_no_integer,comm_degradation,R12_p0,2045
76411542a5976f29,True,smith_no_prices,comm_degradation,R12_p0,2026
4679fced23c04807,True,smith_no_prices,comm_degradation,R12_p0,2027
cc1a98f87a0aa2c3,True,smith_no_prices,comm_degradation,R12_p0,2028
7903fbd42b8aa6ce,True,smith_no_prices,comm_degradation,R12_p0,2029
ea808491ab8d22de,True,smith_no_prices,comm_degradation,R12_p0,2030
412cd625a0778a2f,True,smith_no_prices,comm_degradation,R12_p0,2031
021c60c9c2b66a9e,True,smith_no_prices,comm_degradation,R12_p0,2032
7870cc5f3369645a,True,smith_no_prices,comm_degradation,R12_p0,2033
c2573bd7a251c3e9,True,smith_no_prices,comm_degradation,R12_p0,2034
972511f5962f26cf,True,smith_no_prices,comm_degradation,R12_p0,2035
cbf4b8f3da24e204,True,smith_no_prices,comm_degradation,R12_p0,2036
1c1e557cf807c801,True,smith_no_prices,comm_degradation,R12_p0,2037
8d1d06cbf6481103,True,smith_no_prices,comm_degradation,R12_p0,2038
079b9772dac0e451,True,smith_no_prices,comm_degradation,R12_p0,2039
6938e629bffcc1f1,True,smith_no_prices,comm_degradation,R12_p0,2040
19d18f721c4b3af5,True,smith_no_prices,comm_degradation,R12_p0,2041
075d8a8aff1e22b7,True,smith_no_prices,comm_degradation,R12_p0,2042
5ce4c89966030f7a,True,smith_no_prices,comm_degradation,R12_p0,2043
f382780833e55b26,True,smith_no_prices,comm_degradation,R12_p0,2044
626da5697b704a83,True,smith_no_prices,comm_degradation,R12_p0,2045
76411542a5976f29,True,classic_auction_cbba,comm_degradation,R12_p0.9,2026
4679fced23c04807,True,classic_auction_cbba,comm_degradation,R12_p0.9,2027
cc1a98f87a0aa2c3,True,classic_auction_cbba,comm_degradation,R12_p0.9,2028
7903fbd42b8aa6ce,True,classic_auction_cbba,comm_degradation,R12_p0.9,2029
ea808491ab8d22de,True,classic_auction_cbba,comm_degradation,R12_p0.9,2030
412cd625a0778a2f,True,classic_auction_cbba,comm_degradation,R12_p0.9,2031
021c60c9c2b66a9e,True,classic_auction_cbba,comm_degradation,R12_p0.9,2032
7870cc5f3369645a,True,classic_auction_cbba,comm_degradation,R12_p0.9,2033
c2573bd7a251c3e9,True,classic_auction_cbba,comm_degradation,R12_p0.9,2034
972511f5962f26cf,True,classic_auction_cbba,comm_degradation,R12_p0.9,2035
cbf4b8f3da24e204,True,classic_auction_cbba,comm_degradation,R12_p0.9,2036
1c1e557cf807c801,True,classic_auction_cbba,comm_degradation,R12_p0.9,2037
8d1d06cbf6481103,True,classic_auction_cbba,comm_degradation,R12_p0.9,2038
079b9772dac0e451,True,classic_auction_cbba,comm_degradation,R12_p0.9,2039
6938e629bffcc1f1,True,classic_auction_cbba,comm_degradation,R12_p0.9,2040
19d18f721c4b3af5,True,classic_auction_cbba,comm_degradation,R12_p0.9,2041
075d8a8aff1e22b7,True,classic_auction_cbba,comm_degradation,R12_p0.9,2042
5ce4c89966030f7a,True,classic_auction_cbba,comm_degradation,R12_p0.9,2043
f382780833e55b26,True,classic_auction_cbba,comm_degradation,R12_p0.9,2044
626da5697b704a83,True,classic_auction_cbba,comm_degradation,R12_p0.9,2045
76411542a5976f29,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2026
4679fced23c04807,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2027
cc1a98f87a0aa2c3,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2028
7903fbd42b8aa6ce,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2029
ea808491ab8d22de,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2030
412cd625a0778a2f,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2031
021c60c9c2b66a9e,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2032
7870cc5f3369645a,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2033
c2573bd7a251c3e9,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2034
972511f5962f26cf,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2035
cbf4b8f3da24e204,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2036
1c1e557cf807c801,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2037
8d1d06cbf6481103,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2038
079b9772dac0e451,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2039
6938e629bffcc1f1,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2040
19d18f721c4b3af5,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2041
075d8a8aff1e22b7,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2042
5ce4c89966030f7a,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2043
f382780833e55b26,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2044
626da5697b704a83,True,classic_centralized_mincost,comm_degradation,R12_p0.9,2045
76411542a5976f29,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2026
4679fced23c04807,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2027
cc1a98f87a0aa2c3,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2028
7903fbd42b8aa6ce,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2029
ea808491ab8d22de,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2030
412cd625a0778a2f,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2031
021c60c9c2b66a9e,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2032
7870cc5f3369645a,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2033
c2573bd7a251c3e9,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2034
972511f5962f26cf,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2035
cbf4b8f3da24e204,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2036
1c1e557cf807c801,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2037
8d1d06cbf6481103,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2038
079b9772dac0e451,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2039
6938e629bffcc1f1,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2040
19d18f721c4b3af5,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2041
075d8a8aff1e22b7,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2042
5ce4c89966030f7a,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2043
f382780833e55b26,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2044
626da5697b704a83,True,classic_greedy_nearest,comm_degradation,R12_p0.9,2045
76411542a5976f29,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2026
4679fced23c04807,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2027
cc1a98f87a0aa2c3,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2028
7903fbd42b8aa6ce,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2029
ea808491ab8d22de,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2030
412cd625a0778a2f,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2031
021c60c9c2b66a9e,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2032
7870cc5f3369645a,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2033
c2573bd7a251c3e9,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2034
972511f5962f26cf,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2035
cbf4b8f3da24e204,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2036
1c1e557cf807c801,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2037
8d1d06cbf6481103,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2038
079b9772dac0e451,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2039
6938e629bffcc1f1,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2040
19d18f721c4b3af5,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2041
075d8a8aff1e22b7,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2042
5ce4c89966030f7a,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2043
f382780833e55b26,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2044
626da5697b704a83,True,oracle_clairvoyant,comm_degradation,R12_p0.9,2045
76411542a5976f29,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2026
4679fced23c04807,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2027
cc1a98f87a0aa2c3,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2028
7903fbd42b8aa6ce,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2029
ea808491ab8d22de,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2030
412cd625a0778a2f,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2031
021c60c9c2b66a9e,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2032
7870cc5f3369645a,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2033
c2573bd7a251c3e9,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2034
972511f5962f26cf,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2035
cbf4b8f3da24e204,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2036
1c1e557cf807c801,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2037
8d1d06cbf6481103,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2038
079b9772dac0e451,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2039
6938e629bffcc1f1,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2040
19d18f721c4b3af5,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2041
075d8a8aff1e22b7,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2042
5ce4c89966030f7a,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2043
f382780833e55b26,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2044
626da5697b704a83,True,proxy_pibt_priority,comm_degradation,R12_p0.9,2045
76411542a5976f29,True,proxy_token_passing,comm_degradation,R12_p0.9,2026
4679fced23c04807,True,proxy_token_passing,comm_degradation,R12_p0.9,2027
cc1a98f87a0aa2c3,True,proxy_token_passing,comm_degradation,R12_p0.9,2028
7903fbd42b8aa6ce,True,proxy_token_passing,comm_degradation,R12_p0.9,2029
ea808491ab8d22de,True,proxy_token_passing,comm_degradation,R12_p0.9,2030
412cd625a0778a2f,True,proxy_token_passing,comm_degradation,R12_p0.9,2031
021c60c9c2b66a9e,True,proxy_token_passing,comm_degradation,R12_p0.9,2032
7870cc5f3369645a,True,proxy_token_passing,comm_degradation,R12_p0.9,2033
c2573bd7a251c3e9,True,proxy_token_passing,comm_degradation,R12_p0.9,2034
972511f5962f26cf,True,proxy_token_passing,comm_degradation,R12_p0.9,2035
cbf4b8f3da24e204,True,proxy_token_passing,comm_degradation,R12_p0.9,2036
1c1e557cf807c801,True,proxy_token_passing,comm_degradation,R12_p0.9,2037
8d1d06cbf6481103,True,proxy_token_passing,comm_degradation,R12_p0.9,2038
079b9772dac0e451,True,proxy_token_passing,comm_degradation,R12_p0.9,2039
6938e629bffcc1f1,True,proxy_token_passing,comm_degradation,R12_p0.9,2040
19d18f721c4b3af5,True,proxy_token_passing,comm_degradation,R12_p0.9,2041
075d8a8aff1e22b7,True,proxy_token_passing,comm_degradation,R12_p0.9,2042
5ce4c89966030f7a,True,proxy_token_passing,comm_degradation,R12_p0.9,2043
f382780833e55b26,True,proxy_token_passing,comm_degradation,R12_p0.9,2044
626da5697b704a83,True,proxy_token_passing,comm_degradation,R12_p0.9,2045
76411542a5976f29,True,random_feasible,comm_degradation,R12_p0.9,2026
4679fced23c04807,True,random_feasible,comm_degradation,R12_p0.9,2027
cc1a98f87a0aa2c3,True,random_feasible,comm_degradation,R12_p0.9,2028
7903fbd42b8aa6ce,True,random_feasible,comm_degradation,R12_p0.9,2029
ea808491ab8d22de,True,random_feasible,comm_degradation,R12_p0.9,2030
76411542a5976f29,True,response_threshold,comm_degradation,R12_p0.9,2026
4679fced23c04807,True,response_threshold,comm_degradation,R12_p0.9,2027
cc1a98f87a0aa2c3,True,response_threshold,comm_degradation,R12_p0.9,2028
7903fbd42b8aa6ce,True,response_threshold,comm_degradation,R12_p0.9,2029
ea808491ab8d22de,True,response_threshold,comm_degradation,R12_p0.9,2030
412cd625a0778a2f,True,response_threshold,comm_degradation,R12_p0.9,2031
021c60c9c2b66a9e,True,response_threshold,comm_degradation,R12_p0.9,2032
7870cc5f3369645a,True,response_threshold,comm_degradation,R12_p0.9,2033
c2573bd7a251c3e9,True,response_threshold,comm_degradation,R12_p0.9,2034
972511f5962f26cf,True,response_threshold,comm_degradation,R12_p0.9,2035
cbf4b8f3da24e204,True,response_threshold,comm_degradation,R12_p0.9,2036
1c1e557cf807c801,True,response_threshold,comm_degradation,R12_p0.9,2037
8d1d06cbf6481103,True,response_threshold,comm_degradation,R12_p0.9,2038
079b9772dac0e451,True,response_threshold,comm_degradation,R12_p0.9,2039
6938e629bffcc1f1,True,response_threshold,comm_degradation,R12_p0.9,2040
19d18f721c4b3af5,True,response_threshold,comm_degradation,R12_p0.9,2041
075d8a8aff1e22b7,True,response_threshold,comm_degradation,R12_p0.9,2042
5ce4c89966030f7a,True,response_threshold,comm_degradation,R12_p0.9,2043
f382780833e55b26,True,response_threshold,comm_degradation,R12_p0.9,2044
626da5697b704a83,True,response_threshold,comm_degradation,R12_p0.9,2045
76411542a5976f29,True,smith,comm_degradation,R12_p0.9,2026
4679fced23c04807,True,smith,comm_degradation,R12_p0.9,2027
cc1a98f87a0aa2c3,True,smith,comm_degradation,R12_p0.9,2028
7903fbd42b8aa6ce,True,smith,comm_degradation,R12_p0.9,2029
ea808491ab8d22de,True,smith,comm_degradation,R12_p0.9,2030
412cd625a0778a2f,True,smith,comm_degradation,R12_p0.9,2031
021c60c9c2b66a9e,True,smith,comm_degradation,R12_p0.9,2032
7870cc5f3369645a,True,smith,comm_degradation,R12_p0.9,2033
c2573bd7a251c3e9,True,smith,comm_degradation,R12_p0.9,2034
972511f5962f26cf,True,smith,comm_degradation,R12_p0.9,2035
cbf4b8f3da24e204,True,smith,comm_degradation,R12_p0.9,2036
1c1e557cf807c801,True,smith,comm_degradation,R12_p0.9,2037
8d1d06cbf6481103,True,smith,comm_degradation,R12_p0.9,2038
079b9772dac0e451,True,smith,comm_degradation,R12_p0.9,2039
6938e629bffcc1f1,True,smith,comm_degradation,R12_p0.9,2040
19d18f721c4b3af5,True,smith,comm_degradation,R12_p0.9,2041
075d8a8aff1e22b7,True,smith,comm_degradation,R12_p0.9,2042
5ce4c89966030f7a,True,smith,comm_degradation,R12_p0.9,2043
f382780833e55b26,True,smith,comm_degradation,R12_p0.9,2044
626da5697b704a83,True,smith,comm_degradation,R12_p0.9,2045
76411542a5976f29,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2026
4679fced23c04807,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2027
cc1a98f87a0aa2c3,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2028
7903fbd42b8aa6ce,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2029
ea808491ab8d22de,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2030
412cd625a0778a2f,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2031
021c60c9c2b66a9e,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2032
7870cc5f3369645a,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2033
c2573bd7a251c3e9,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2034
972511f5962f26cf,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2035
cbf4b8f3da24e204,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2036
1c1e557cf807c801,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2037
8d1d06cbf6481103,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2038
079b9772dac0e451,True,smith_effective_occupancy,comm_degradation,R12_p0.9,2039
